Konkani,Hindi,Konkani_Rule_POS
फळांनी,फल,फळांनी/NOUN
भाजयांनी,सब्जियों द्वारा,भाजयांनी/NOUN
अशेच,वे एक ही हैं,अशेच/NOUN
तरेचें,अनुमोदन करना,तरेचें/NOUN
प्रमाण,मात्रा,प्रमाण/NOUN
आशिल्ल्या,ए,आशिल्ल्या/NOUN
आहारान,आहार,आहारान/NOUN
वजन,वज़न,वजन/NOUN
नियंत्रणांत,नियंत्रण में,नियंत्रणांत/NOUN
साबार,अनेक,साबार/NOUN
दुयेंसां,रोग,दुयेंसां/NOUN
पयस,दूर,पयस/PART
सोरो,अल्कोहल,सोरो/NOUN
हांचें,वे हैं,हांचें/NOUN
सेवन,सेवन,सेवन/NOUN
करचें,करना,करचें/NOUN
रक्तदाब,रक्तचाप,रक्तदाब/NOUN
कॉलेस्ट्रॉल,कॉलेस्ट्रॉल,कॉलेस्ट्रॉल/NOUN
हांकां,वे हैं,हांकां/NOUN
आळाबंदा,विलुप्ति,आळाबंदा/NOUN
मिठाचें,नमक बनाया जाता है,मिठाचें/PRON
सोर्‍याचें,ब्रह्मांडीय,सोर्‍याचें/NOUN
उण्यांत,थोड़े से,उण्यांत/NOUN
उण्या,मामला,उण्या/NOUN
प्रमाणांत,मात्रात्मक,प्रमाणांत/NOUN
सिगार,सिगार,सिगार/NOUN
वा,या,वा/NOUN
विडी,विदा,विडी/NOUN
ओडची,ओड,ओडची/NOUN
ओडिल्ल्यान,ओडिल्ल्यान,ओडिल्ल्यान/NOUN
कॅन्सरा,कंसरा,कॅन्सरा/NOUN
सयत,साथ,सयत/NOUN
जायतीं,अनेक,जायतीं/NOUN
जावपाचो,बनना,जावपाचो/ADJ
भंय,डर,भंय/NOUN
तीं,ब,तीं/NOUN
सोडपाचो,रिले करना,सोडपाचो/ADJ
पुरायेन,पुरायेन,पुरायेन/NOUN
येत्न,कोशिश,येत्न/NOUN
करात,कर,करात/NOUN
सदांच,हमेशा,सदांच/NOUN
व्यायाम,व्यायाम,व्यायाम/NOUN
करचो,एसईडी,करचो/ADJ
आपले,आपका,आपले/ADJ
सदचे,बलिदान,सदचे/NOUN
व्यायामाचो,1000s।,व्यायामाचो/ADJ
मुजरत,मुजर्ट,मुजरत/NOUN
आसपाव,में शामिल है,आसपाव/NOUN
केल्ल्या,KÃOS द्वारा बनाया गया,केल्ल्या/NOUN
व्यायामान,व्यायामान,व्यायामान/NOUN
काळजाचें,दिल का,काळजाचें/NOUN
दुयेंस,दुयेंस,दुयेंस/PART
कोलनाचो,कोलोनचो,कोलनाचो/ADJ
कॅन्सर,कैंसर,कॅन्सर/NOUN
गोडेंमूत,मधुमेह,गोडेंमूत/NOUN
सारक्या,अस्थमा,सारक्या/NOUN
वाटावंक,हिलाना,वाटावंक/NOUN
शरिराच्यो,शरीर,शरिराच्यो/NOUN
सारीक,अंत में,सारीक/NOUN
हालचाली,आंदोलन,हालचाली/ADJ
करीत,में,करीत/NOUN
रावचें,रहना,रावचें/NOUN
सोंपणां,धाराएँ,सोंपणां/NOUN
चडप,चडप,चडप/NOUN
बागकाम,बगीचा,बागकाम/NOUN
करप,करना,करप/NOUN
घरांतलीं,घर की,घरांतलीं/NOUN
-,,-/NOUN
कामां,कामां,कामां/NOUN
नाच,नृत्य,नाच/NOUN
हे,यह,हे/NOUN
सारक्यो,चेहरे,सारक्यो/NOUN
रावच्यो,रवाचो,रावच्यो/NOUN
शरिराची,शरीर रचना,शरिराची/NOUN
लवचीकताय,लचीला,लवचीकताय/NOUN
तिगून,काएं,तिगून/NOUN
उरता,अवशेष,उरता/NOUN
परत,पीछे,परत/NOUN
जोर,जोर,जोर/NOUN
येता,चलो भी,येता/NOUN
ताची,यह,ताची/NOUN
करची,देना,करची/NOUN
मलेरिया,मलेरिया,मलेरिया/PRON
काळो,काला,काळो/NOUN
हांची,वे हैं,हांची/NOUN
सुरवात,शुरुआत,सुरवात/NOUN
जोरानूच,जोरानूच,जोरानूच/NOUN
गीम,गर्मी,गीम/NOUN
सुरू,शुरू,सुरू/NOUN
जाला,जाला,जाला/NOUN
भेळशेल्लें,भेळशेल्लें,भेळशेल्लें/NOUN
रस्त्या,गली,रस्त्या/NOUN
कुशीक,की ओर एक पक्ष,कुशीक/NOUN
विकतात,बेचना,विकतात/VERB
खाणां,खाना,खाणां/NOUN
खावचीं,लपेटना,खावचीं/NOUN
भुरग्यांक,बच्चे,भुरग्यांक/NOUN
फास्टफूड,फास्टफूड,फास्टफूड/NOUN
कुरकुरीं,कुरकुरीं,कुरकुरीं/NOUN
आयस्क्रीम,Ischream,आयस्क्रीम/NOUN
खावंक,गौरव करना,खावंक/NOUN
दिवचें,देना,दिवचें/NOUN
ओंकारो,जी मिचलाना,ओंकारो/NOUN
हागवण,हाथापाई,हागवण/NOUN
लागता,कब,लागता/NOUN
तेन्ना,तब,तेन्ना/NOUN
मिश्रण,मिश्रण,मिश्रण/NOUN
ओआरएस,ओआरएस,ओआरएस/PART
पिवोवचें,शराब पीना,पिवोवचें/NOUN
चडांत,के सबसे,चडांत/NOUN
?,,?/NOUN
खर,सच,खर/NOUN
आसूं,कोई बात नहीं,आसूं/NOUN
म्हज्या,मेरा,म्हज्या/PRON
भुरग्याक,बच्चे,भुरग्याक/NOUN
लागल्या,आगे,लागल्या/NOUN
पयलीं,जल्दी,पयलीं/NOUN
ओआरएसाचें,ओरसा,ओआरएसाचें/NOUN
पियेवपाक,शराब पीना।,पियेवपाक/VERB
उपरांत,उपरांत,उपरांत/NOUN
रोखडोच,नकद,रोखडोच/NOUN
भुरग्यांच्या,थरथराहट,भुरग्यांच्या/ADJ
दोतोराक,चिकित्सक,दोतोराक/NOUN
दाखोवचो,सेन,दाखोवचो/ADJ
अडेज,Adej।,अडेज/NOUN
वर्सां,साल,वर्सां/NOUN
सावन,सावन,सावन/NOUN
म्हयन्यांनी,1000,म्हयन्यांनी/PRON
इतलेंच,यह सब है,इतलेंच/NOUN
जिबेर,जयकार,जिबेर/NOUN
धवो,सफ़ेद सफ़ेद,धवो/NOUN
थर,परत,थर/NOUN
धरता,पकड़ना,धरता/NOUN
घेवचें,पकड़ना,घेवचें/NOUN
मुताची,अगले,मुताची/PRON
घेवची,को दें,घेवची/NOUN
काळ्या,काला,काळ्या/NOUN
जोराचीं,बुखार,जोराचीं/NOUN
सुरवातेचीं,चालू होना,सुरवातेचीं/NOUN
लक्षणां,लक्षण,लक्षणां/NOUN
कितें,क्या है,कितें/NOUN
दीस,दिन,दीस/PART
मातसोसो,मातसोसो,मातसोसो/PRON
जोराची,कसा हुआ,जोराची/NOUN
पारखणी,सत्यापन,पारखणी/NOUN
दुसर्‍यो,अन्य,दुसर्‍यो/NOUN
फावोश्यो,फावोश्यो,फावोश्यो/NOUN
तपासण्यो,परीक्षण,तपासण्यो/NOUN
केले,बनाया,केले/ADJ
जावंक,लोक,जावंक/NOUN
शकता,कर सकना,शकता/NOUN
मेटासिनाची,मेटासिना,मेटासिनाची/PRON
गुळी,सर्द,गुळी/NOUN
दिल्यार,दिया अगर दिया,दिल्यार/NOUN
देंवता,एक प्रकार का,देंवता/NOUN
103,103,103/NOUN
मेरेन,तक पहुँचने के लिए,मेरेन/PRON
एक्सरे,XRE,एक्सरे/NOUN
टिसी,टीसी,टिसी/NOUN
डिसी,डीसी,डिसी/NOUN
सामान्य,सामान्य,सामान्य/NOUN
आसा,है,आसा/NOUN
वरांनी,कारण,वरांनी/NOUN
पळोवचो,देखना,पळोवचो/ADJ
शंबरां,शंबरां,शंबरां/NOUN
वयर,ऊपर,वयर/NOUN
पारासिटामॉलाची,परसिटामोलिया,पारासिटामॉलाची/NOUN
दिवची,काएं,दिवची/NOUN
दोतोराचो,डॉक्टर का,दोतोराचो/ADJ
एचआयवी,HIV,एचआयवी/NOUN
म्हणल्यार,मतलब,म्हणल्यार/PRON
कशें,कैसे,कशें/NOUN
हातूंतल्यान,इनमें यह शामिल है,हातूंतल्यान/NOUN
सुटपाचो,पतन के लिए,सुटपाचो/ADJ
उपाय,उपाय,उपाय/NOUN
सांग,शब्दावली,सांग/NOUN
हो,हो,हो/NOUN
एके,एके,एके/NOUN
तरेचो,की कोशिश करना,तरेचो/ADJ
किटाणू,कितनु,किटाणू/NOUN
हाचो,यह है,हाचो/ADJ
प्रसार,प्रसार,प्रसार/NOUN
असुरक्षीत,असुरक्षित,असुरक्षीत/NOUN
शारिरीक,शारिरीक,शारिरीक/NOUN
संबंद,संबंधित होना,संबंद/NOUN
प्रदुशीत,प्रदूषित,प्रदुशीत/NOUN
सूय,सूय,सूय/NOUN
रगत,खून,रगत/NOUN
आवय,माता,आवय/NOUN
असो,फिर भी,असो/NOUN
जावं,चल देना,जावं/NOUN
रोग,रोग,रोग/NOUN
प्रतिरोधक,प्रतिरोधी,प्रतिरोधक/NOUN
तांक,सुलाइंग क्षमता,तांक/NOUN
जायत,जायत,जायत/NOUN
वता,पतला,वता/NOUN
हाडाचो,हड्डी की हड्डी,हाडाचो/ADJ
टिबी,टिबि,टिबी/NOUN
कसो,क्यों,कसो/NOUN
वळखप,अशांति,वळखप/NOUN
हाचेर,पर,हाचेर/NOUN
हाडांनी,बोनर,हाडांनी/NOUN
दूख,चोट पहुँचाना,दूख/NOUN
जरी,अगर,जरी/NOUN
आसलो,वह था,आसलो/ADJ
तरी,यद्यपि,तरी/NOUN
सांजेचो,शाम के समय,सांजेचो/ADJ
तो,तो,तो/NOUN
वाडप,उठना,वाडप/NOUN
दुखी,दुखी,दुखी/NOUN
बाराबर,बाराबर,बाराबर/NOUN
विकृती,विकार,विकृती/NOUN
आयली,आ गया,आयली/ADJ
हाडाचे,हड्डी,हाडाचे/NOUN
टिबीचें,टिबिच,टिबीचें/NOUN
लक्षण,लक्षण,लक्षण/NOUN
हाडां,हेट्यून,हाडां/NOUN
अशक्त,अक्षम,अशक्त/NOUN
पोखरतात,खरोंच,पोखरतात/VERB
परिस्थितींत,कमज़ोर,परिस्थितींत/NOUN
अर्दांगूय,आधा अनाज,अर्दांगूय/NOUN
हाची,यह है,हाची/NOUN
पारख,निर्णय,पारख/NOUN
करपा,कोर्पस,करपा/NOUN
डिजीटल,डिजीटल,डिजीटल/NOUN
एमआरआय,एमआरआई,एमआरआय/NOUN
वखद,दवा,वखद/NOUN
वर्सा,कान,वर्सा/NOUN
तशेंच,वैसे ही,तशेंच/NOUN
जाणकार,जानकार,जाणकार/NOUN
रातचें,रात,रातचें/NOUN
न्हिदतना,न्हिदतना,न्हिदतना/NOUN
एक,एक,एक/NOUN
चादर,चादर,चादर/NOUN
आंगार,ब्रीट,आंगार/NOUN
पंखो,पंखो,पंखो/NOUN
वापरचो,उपयोग,वापरचो/ADJ
इतलेंय,मातम,इतलेंय/NOUN
जर,अगर,जर/NOUN
तुमकां,आपका क्या मतलब है,तुमकां/PRON
दिसना,दिखाई न पड़ो,दिसना/NOUN
एण्टी,अचती,एण्टी/NOUN
एलर्जीक,एलर्जी,एलर्जीक/NOUN
धा,धा,धा/NOUN
घामोळें,पसीना,घामोळें/NOUN
पातळ,पतला,पातळ/NOUN
परसाकडेन,1 के साथ,परसाकडेन/NOUN
घरावो,घरावो,घरावो/NOUN
ग्लास,काँच,ग्लास/PART
उदकांत,पानी में पानी में पानी।,उदकांत/NOUN
कुलेरां,कुलेरां,कुलेरां/NOUN
चिमटी,चिमटी,चिमटी/NOUN
घालून,खर-पतवार,घालून/NOUN
सळसळावन,क्षय,सळसळावन/NOUN
वताक,जटाक,वताक/NOUN
जोराचें,बुखार,जोराचें/NOUN
व्हय,वो,व्हय/NOUN
गर्मेंत,गर्मेंत,गर्मेंत/NOUN
प्रभाव,प्रभाव,प्रभाव/NOUN
मोटो,मोटा,मोटो/PRON
मूस,ढालना,मूस/PART
चाबल्यार,चाबल्यार,चाबल्यार/NOUN
सगल्या,सभी के लिए,सगल्या/NOUN
ओश्पितालांनी,कार्यालयों की गिरावट,ओश्पितालांनी/NOUN
आतां,अब,आतां/NOUN
गुळीय,नाली,गुळीय/NOUN
कोलेखोंकली,कोलेखोंकली,कोलेखोंकली/ADJ
डिपिटीचें,दीप्ति,डिपिटीचें/NOUN
वासीन,टीका,वासीन/NOUN
दाखोवचें,दाखोवचें,दाखोवचें/NOUN
खोंकले,खोंकले,खोंकले/ADJ
थुकयेची,थूकना,थुकयेची/NOUN
आपल्या,आपको,आपल्या/NOUN
दोळ्यांची,हेमिस्ट,दोळ्यांची/NOUN
जतनाय,सावधानियां,जतनाय/NOUN
घेवपांत,घाटी,घेवपांत/NOUN
कितले,कितना,कितले/ADJ
जागरूक,जागरूक,जागरूक/NOUN
आसात,हैं,आसात/NOUN
स,स,स/PART
दोळे,आँखें,दोळे/NOUN
ओक्ल,ओक्ल,ओक्ल/NOUN
कॉण्टॅक्ट,कॉण्टॅक्ट,कॉण्टॅक्ट/NOUN
लॅन्साचो,लांस का,लॅन्साचो/ADJ
सांबाळ,मिश्रण,सांबाळ/NOUN
धुवचे,धुवचे,धुवचे/NOUN
सगळ्या,सभी,सगळ्या/NOUN
वांगडा,साथ,वांगडा/NOUN
तुमच्या,आपका,तुमच्या/ADJ
जेवणा,रात का खाना,जेवणा/NOUN
खाणाचेर,मेरा,खाणाचेर/NOUN
मातशें,विद्यार्थी,मातशें/PRON
दिलें,विस्मय,दिलें/NOUN
तुमची,आपका,तुमची/PRON
नदर,दृश्य,नदर/NOUN
सुदारतली,उलझा हुआ,सुदारतली/ADJ
दोळ्यांच्या,कुंडी,दोळ्यांच्या/ADJ
पिडे,पिडे,पिडे/NOUN
पसुनूय,पसुनूय,पसुनूय/NOUN
वाटावतले,विभाजित,वाटावतले/ADJ
लिवरपूल,लिवरपूल,लिवरपूल/NOUN
विश्वविद्यालयाच्या,विश्वविद्यालय,विश्वविद्यालयाच्या/ADJ
ऑफ्थाल्मोलॉजी,ऑफ्थाल्मोलॉजी,ऑफ्थाल्मोलॉजी/NOUN
विभागाचो,विभाजन का,विभागाचो/ADJ
अध्यक्ष,अध्यक्ष,अध्यक्ष/NOUN
नामनेचो,विख्यात,नामनेचो/ADJ
नेत्ररोग,नेत्र विज्ञान,नेत्ररोग/NOUN
संशोधक,शोधकर्ता,संशोधक/NOUN
डॉ,डॉ।,डॉ/NOUN
इयान,इयान,इयान/NOUN
ग्रियरसन,ग्रियरसन,ग्रियरसन/NOUN
म्हणटा,कहते हैं,म्हणटा/PRON
जेवणांत,डिनर,जेवणांत/NOUN
जिवनसत्व-सी,जिवनसत्व-सी,जिवनसत्व-सी/NOUN
ओमेगा-3,ओमेगा-3,ओमेगा-3/NOUN
तेल,तेल,तेल/NOUN
विशेश,विशेश,विशेश/NOUN
भाजयांचें,सब्ज़ी,भाजयांचें/NOUN
वाडयलें,बढ़ा हुआ,वाडयलें/NOUN
सादारणपणान,बचपन,सादारणपणान/NOUN
कुड्डेपणाक,कुड्डेपणाक,कुड्डेपणाक/NOUN
कारण,कारण,कारण/NOUN
जावपी,कॉलिंग,जावपी/NOUN
मोतीबिंदू,पशु,मोतीबिंदू/PRON
ग्लुकोमा,ग्लूको में,ग्लुकोमा/NOUN
पिडां,पिडां,पिडां/NOUN
वाटावं,अनुभव करना,वाटावं/NOUN
चलात,चलो टहलें,चलात/NOUN
भलायकेवंत,चोर,भलायकेवंत/NOUN
उरपा,पपीता,उरपा/NOUN
आसचो,होना चाहिए,आसचो/ADJ
तें,टन,तें/NOUN
समजून,समझ,समजून/NOUN
घेवया,आइए हम ले जाएं,घेवया/NOUN
उरची,तंग करना,उरची/NOUN
पाचव्या,पांचवां,पाचव्या/NOUN
भाजयांचो,सब्ज़ी,भाजयांचो/ADJ
गरजेचें,ज़रूरी,गरजेचें/NOUN
पालक,माता-पिता,पालक/NOUN
ब्रोकली,ब्रोकली,ब्रोकली/ADJ
कोंब,मुर्गा,कोंब/NOUN
काडिल्लें,लाल,काडिल्लें/NOUN
कड्डण,पंथ,कड्डण/NOUN
खावप,खाना,खावप/NOUN
दोळ्यांक,गरजना,दोळ्यांक/NOUN
फायद्याचें,यह लाभदायक है,फायद्याचें/NOUN
ल्युटीन,ल्युटीन,ल्युटीन/NOUN
जिजेनथिना,जिजेनथिना,जिजेनथिना/NOUN
असलीं,ऐसा,असलीं/NOUN
म्हत्वाचीं,आयात,म्हत्वाचीं/PRON
तत्वां,सिद्धांतों के तत्व,तत्वां/NOUN
जीं,जी,जीं/NOUN
जापसालदार,ज़िम्मेदार,जापसालदार/NOUN
अमेरिकेच्या,अमेरिकी,अमेरिकेच्या/ADJ
नॅशनल,राष्ट्रीय,नॅशनल/NOUN
आय,आय,आय/NOUN
इन्स्टिट्यूटाच्या,संस्था,इन्स्टिट्यूटाच्या/ADJ
6,6,6/NOUN
वर्सांच्या,सालों का एक साल।,वर्सांच्या/ADJ
अभ्यासांत,पंडित,अभ्यासांत/NOUN
हीं,हीं,हीं/NOUN
जाणट्यांक,बुजुर्ग,जाणट्यांक/NOUN
कुड्डेपणा,पोखर,कुड्डेपणा/NOUN
वाटायतात,में,वाटायतात/VERB
सिद्ध,सिद्ध किया हुआ।,सिद्ध/NOUN
जालां,कोलोन,जालां/NOUN
सगल्यांनी,सब लोग,सगल्यांनी/NOUN
100,100,100/NOUN
ग्राम,ग्राम,ग्राम/NOUN
पाचव्यो,पांचवां,पाचव्यो/NOUN
भाजयो,सब्ज़ियाँ,भाजयो/NOUN
सालादाच्या,संवर्ग,सालादाच्या/ADJ
रुपांत,रूप,रुपांत/NOUN
जाय,जाय,जाय/NOUN
नाश्त्यांत,नाश्ते में,नाश्त्यांत/NOUN
तांतयां,ओए,तांतयां/NOUN
बिलबेरीया,बिलबेरीया,बिलबेरीया/NOUN
ब्लॅकबॅरी,एक प्रकार का,ब्लॅकबॅरी/NOUN
एंथोसायनीन,एंथोसायनीन,एंथोसायनीन/NOUN
कुड्डेपण,कुड्डेपण,कुड्डेपण/NOUN
वाटायता,वाटायता,वाटायता/NOUN
पोशक,पोशक,पोशक/NOUN
पावोवपी,रेगिस्तान,पावोवपी/NOUN
पेशी,कक्ष,पेशी/NOUN
घट,गिरावट,घट/NOUN
सोद,खोजना,सोद/NOUN
वावरांतल्यान,काम में,वावरांतल्यान/NOUN
दिसलां,ud दिखाई दिया,दिसलां/NOUN
नाश्तो,नाश्तो,नाश्तो/NOUN
फ्रूट,फ्रूट,फ्रूट/NOUN
सालाद,सालाद,सालाद/NOUN
बिलबॅरी,बिलबारिरी,बिलबॅरी/NOUN
लेगीत,भी,लेगीत/NOUN
खावं,खाना,खावं/NOUN
म्हावराक,महावर,म्हावराक/PRON
आसशात,महाप्राण,आसशात/NOUN
नुस्तें,नोस्टा,नुस्तें/NOUN
खावपा,खाना,खावपा/NOUN
खंयचोच,क्या कोई,खंयचोच/NOUN
बरो,अच्छा,बरो/NOUN
ना,ना,ना/NOUN
खाल्यार,खाओ खाओ,खाल्यार/NOUN
कात,बकवास,कात/NOUN
केंस,बाल,केंस/PART
मेंदू,दिमाग,मेंदू/PRON
उरतलीं,।,उरतलीं/NOUN
उरतली,आप बने रहेंगे,उरतली/ADJ
नुस्त्यांत,मछली में मछली,नुस्त्यांत/NOUN
मेळपी,निर्मित,मेळपी/PRON
ओमेगा,ओमेगा,ओमेगा/NOUN
थ्री,तीन,थ्री/NOUN
ही,ही,ही/NOUN
जाणटेपणांत,इरादा,जाणटेपणांत/NOUN
ती,वे,ती/NOUN
ड्राय,कार,ड्राय/NOUN
